Key,press_time,release_time,platform_ids,session_id,user_ids
Key.backspace,1.71924825502389e+18,75490048,1,1,36
Key.backspace,1.719248255185532e+18,75784192,1,1,36
Key.space,1.719248255378003e+18,83613952,1,1,36
'd',1.719248255577152e+18,134138880,1,1,36
'e',1.719248255686352e+18,87997184,1,1,36
'c',1.719248255887902e+18,82972160,1,1,36
's',1.719248256165447e+18,28126976,1,1,36
Key.backspace,1.719248256463384e+18,84760064,1,1,36
'i',1.719248256604525e+18,101053952,1,1,36
's',1.719248256741646e+18,63612928,1,1,36
'i',1.719248256873529e+18,175625984,1,1,36
'o',1.719248257017282e+18,129853952,1,1,36
'n',1.71924825718455e+18,102509056,1,1,36
Key.space,1.719248257317362e+18,106985984,1,1,36
'c',1.719248257679346e+18,65267968,1,1,36
'o',1.719248257722261e+18,87805952,1,1,36
'm',1.719248257895521e+18,83256064,1,1,36
'i',1.719248258069389e+18,73101824,1,1,36
'n',1.719248258178377e+18,79102976,1,1,36
'g',1.719248258304921e+18,47364864,1,1,36
Key.space,1.719248258385433e+18,103419904,1,1,36
'f',1.719248258611372e+18,137090048,1,1,36
'r',1.719248258723395e+18,97641984,1,1,36
'o',1.719248258766752e+18,106972928,1,1,36
'm',1.719248258897912e+18,131087872,1,1,36
Key.space,1.719248259093656e+18,92162048,1,1,36
Key.shift,1.719248259257173e+18,237712896,1,1,36
'i',1.719248259622708e+18,83451136,1,1,36
'd',1.719248259819635e+18,119977984,1,1,36
'e',1.719248259918017e+18,104146944,1,1,36
'n',1.719248260012383e+18,60139008,1,1,36
"""'""",1.719248260451898e+18,111303936,1,1,36
's',1.719248260545736e+18,78905088,1,1,36
Key.space,1.719248260643527e+18,106425088,1,1,36
's',1.719248261124739e+18,63236864,1,1,36
't',1.719248261356533e+18,34221056,1,1,36
'a',1.719248261542654e+18,75228928,1,1,36
'f',1.719248261754239e+18,61246976,1,1,36
'f',1.719248261888723e+18,77015040,1,1,36
Key.space,1.719248262051201e+18,111448064,1,1,36
't',1.719248262185315e+18,71821824,1,1,36
'o',1.719248262290982e+18,110144000,1,1,36
Key.space,1.719248262427783e+18,105154048,1,1,36
'r',1.719248262875384e+18,109305856,1,1,36
'e',1.719248262944608e+18,99503104,1,1,36
't',1.719248263296903e+18,72467200,1,1,36
'a',1.719248263538352e+18,84711936,1,1,36
'i',1.719248263573441e+18,99153920,1,1,36
'n',1.719248263756359e+18,78864128,1,1,36
Key.space,1.719248263926683e+18,56306176,1,1,36
't',1.719248264021784e+18,40247040,1,1,36
'h',1.719248264130482e+18,90221056,1,1,36
'e',1.719248264272249e+18,66322944,1,1,36
Key.space,1.71924826434594e+18,107585024,1,1,36
's',1.719248264688039e+18,92769024,1,1,36
'u',1.719248264860988e+18,78274048,1,1,36
'p',1.719248265073976e+18,82371840,1,1,36
'p',1.719248265232356e+18,64335872,1,1,36
'o',1.71924826539649e+18,99981056,1,1,36
'r',1.719248265541027e+18,62225920,1,1,36
't',1.719248265756974e+18,62819840,1,1,36
Key.space,1.719248265857248e+18,103684096,1,1,36
'o',1.719248266024892e+18,107947008,1,1,36
'f',1.719248266270933e+18,60521984,1,1,36
Key.space,1.719248266320314e+18,125077760,1,1,36
't',1.719248266770733e+18,75642880,1,1,36
'h',1.719248266894312e+18,69734144,1,1,36
'e',1.719248266981299e+18,79432960,1,1,36
Key.space,1.719248267094254e+18,113312000,1,1,36
'a',1.719248267291051e+18,73147904,1,1,36
Key.backspace,1.719248267564397e+18,99634944,1,1,36
Key.shift,1.719248267662154e+18,194071040,1,1,36
'm',1.719248267939049e+18,100765952,1,1,36
'e',1.719248268101166e+18,127496960,1,1,36
'r',1.719248268197287e+18,74329088,1,1,36
'i',1.719248268317482e+18,104730112,1,1,36
'c',1.719248268457302e+18,79348992,1,1,36
'a',1.71924826863515e+18,85094912,1,1,36
'n',1.719248268664661e+18,89329920,1,1,36
Key.space,1.719248268863444e+18,100896000,1,1,36
'p',1.719248269244461e+18,125666048,1,1,36
